,Year,Quarter,Revenue,Cost of revenue,Net income,Earnings per share,Current assets,Total assets,Current liabilities,Shareholders' equity,Depreciation & Amortization,Cash generated by operating activities,Cash at end of period,Stock price,Amazon,AMD,Apple,Cisco,Google,IBM,Intel,Nvidia,TI
Texas Instruments 2011-3,2011,3,3458.0,1705.0,672.0,0.56,10860.0,17098.0,1753.0,10903.0,444.0,1147.0,4501.0,33.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2011-4,2011,4,3466.0,1722.0,601.0,0.51,7716.0,20907.0,3668.0,11026.0,657.0,2285.0,1581.0,26.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2012-2,2012,2,3121.0,1590.0,265.0,0.22,7591.0,20009.0,2909.0,11071.0,243.0,449.0,1193.0,33.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2012-3,2012,3,3335.0,1684.0,446.0,0.38,7353.0,19521.0,3821.0,11158.0,484.0,1124.0,1192.0,28.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2012-4,2012,4,3390.0,1650.0,784.0,0.67,8584.0,20514.0,3425.0,11403.0,725.0,2326.0,1210.0,27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2013-2,2013,2,2885.0,1511.0,362.0,0.32,8205.0,19701.0,3110.0,10952.0,228.0,360.0,1393.0,35.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2013-3,2013,3,3047.0,1477.0,660.0,0.58,8038.0,19398.0,2802.0,11068.0,449.0,1035.0,1180.0,35.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2013-4,2013,4,3244.0,1465.0,629.0,0.56,8101.0,19244.0,2723.0,11051.0,666.0,2185.0,1435.0,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2014-2,2014,2,2983.0,1376.0,487.0,0.44,8360.0,18935.0,2471.0,10620.0,213.0,462.0,1565.0,47.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2014-3,2014,3,3292.0,1411.0,683.0,0.62,7456.0,17810.0,1803.0,10466.0,426.0,1237.0,1216.0,48.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2014-4,2014,4,3501.0,1457.0,826.0,0.76,7756.0,17900.0,2643.0,10471.0,639.0,2620.0,1306.0,46.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2015-2,2015,2,3150.0,1334.0,656.0,0.61,7692.0,17346.0,2286.0,10369.0,203.0,609.0,1242.0,56.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2015-3,2015,3,3232.0,1351.0,696.0,0.65,8060.0,17532.0,3193.0,10205.0,401.0,1429.0,1184.0,51.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2015-4,2015,4,3429.0,1432.0,798.0,0.76,7289.0,16540.0,2500.0,9970.0,594.0,2838.0,1133.0,48.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2016-2,2016,2,3008.0,1184.0,668.0,0.65,6659.0,15686.0,2420.0,9782.0,161.0,547.0,1281.0,57.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2016-3,2016,3,3273.0,1270.0,779.0,0.76,6689.0,15693.0,1991.0,9962.0,316.0,1616.0,1235.0,62.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2016-4,2016,4,3675.0,1395.0,968.0,0.94,7181.0,16216.0,2170.0,10286.0,466.0,3029.0,1369.0,69.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2017-2,2017,2,3402.0,1258.0,997.0,0.97,7040.0,15978.0,1602.0,10639.0,139.0,795.0,1073.0,80.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2017-3,2017,3,3693.0,1319.0,1056.0,1.03,7511.0,16438.0,1877.0,10708.0,273.0,1712.0,1140.0,76.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2017-4,2017,4,4116.0,1460.0,1285.0,1.26,7991.0,16929.0,2055.0,10988.0,406.0,3434.0,1296.0,89.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2018-2,2018,2,3789.0,1342.0,1366.0,1.35,8590.0,17507.0,1860.0,10642.0,137.0,1112.0,1717.0,100.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2018-3,2018,3,4017.0,1398.0,1405.0,1.4,9592.0,18527.0,1466.0,10634.0,281.0,2938.0,2919.0,110.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2018-4,2018,4,4261.0,1457.0,1570.0,1.58,9468.0,18573.0,2382.0,10516.0,432.0,5044.0,1502.0,107.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
