,Year,Quarter,Revenue,Cost of revenue,Net income,Earnings per share,Current assets,Total assets,Current liabilities,Shareholders' equity,Depreciation & Amortization,Cash generated by operating activities,Cash at end of period,Stock price,Amazon,AMD,Apple,Cisco,Google,IBM,Intel,Nvidia,TI
Advanced Micro Devices 2011-3,2011,3,1574.0,854.0,61.0,0.08,3438.0,5224.0,1312.0,1641.0,168.0,6.0,554.0,7.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2011-4,2011,4,1690.0,934.0,97.0,0.13,3412.0,5236.0,1855.0,1744.0,247.0,195.0,625.0,4.53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2012-2,2012,2,1585.0,1558.0,-590.0,-0.8,3195.0,4988.0,2347.0,1052.0,63.0,107.0,1193.0,8.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2012-3,2012,3,1413.0,775.0,37.0,0.05,3233.0,5041.0,2352.0,1117.0,128.0,188.0,1015.0,5.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2012-4,2012,4,1269.0,877.0,-157.0,-0.21,2815.0,4612.0,1555.0,989.0,194.0,-52.0,776.0,3.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2013-2,2013,2,1088.0,643.0,-146.0,-0.19,2338.0,3797.0,1321.0,415.0,66.0,-155.0,441.0,2.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2013-3,2013,3,1161.0,702.0,-74.0,-0.1,2458.0,3897.0,1451.0,359.0,125.0,-190.0,334.0,4.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2013-4,2013,4,1461.0,940.0,48.0,0.06,2939.0,4317.0,1762.0,434.0,182.0,-169.0,543.0,3.86,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2014-2,2014,2,1397.0,910.0,-20.0,-0.03,2690.0,4108.0,1384.0,511.0,53.0,-204.0,554.0,4.07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2014-3,2014,3,1441.0,943.0,-36.0,-0.05,2932.0,4246.0,1505.0,501.0,106.0,-232.0,503.0,4.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2014-4,2014,4,1429.0,935.0,17.0,0.02,3020.0,4325.0,1566.0,535.0,155.0,-214.0,640.0,3.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2015-2,2015,2,1030.0,704.0,-180.0,-0.23,2497.0,3428.0,1292.0,17.0,46.0,-173.0,677.0,2.69,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2015-3,2015,3,942.0,710.0,-181.0,-0.23,2451.0,3381.0,1399.0,-141.0,91.0,-231.0,829.0,2.42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2015-4,2015,4,1061.0,822.0,-197.0,-0.25,2466.0,3229.0,1449.0,-336.0,133.0,-290.0,755.0,1.74,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2016-2,2016,2,832.0,563.0,-109.0,-0.14,2226.0,2981.0,1328.0,-503.0,33.0,-42.0,716.0,2.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2016-3,2016,3,1027.0,708.0,69.0,0.08,2506.0,3316.0,1581.0,-413.0,66.0,-127.0,957.0,5.07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2016-4,2016,4,1307.0,1248.0,-406.0,-0.5,2824.0,3616.0,1473.0,385.0,99.0,-98.0,1258.0,6.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2017-2,2017,2,984.0,653.0,-73.0,-0.08,2498.0,3299.0,1372.0,409.0,34.0,-299.0,722.0,14.64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2017-3,2017,3,1222.0,818.0,-16.0,-0.02,2511.0,3370.0,1449.0,417.0,69.0,-381.0,760.0,12.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2017-4,2017,4,1643.0,1070.0,71.0,0.07,2699.0,3586.0,1591.0,520.0,105.0,-315.0,879.0,12.71,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2018-2,2018,2,1647.0,1050.0,81.0,0.08,2751.0,3763.0,1697.0,715.0,44.0,-86.0,1051.0,9.53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2018-3,2018,3,1756.0,1104.0,116.0,0.11,3099.0,4103.0,1868.0,879.0,86.0,-131.0,956.0,15.16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2018-4,2018,4,1653.0,992.0,102.0,0.09,3314.0,4347.0,1878.0,1125.0,127.0,-36.0,1051.0,31.42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
