,Year,Month,Day,Adjusted close price,AMD,AAPL,CSCO,GOOGL,IBM,INTC,NVDA,TXN
1534,2014,2,5,346.4500,3.3100,66.0935,18.3411,572.1722,137.0777,20.0177,14.6344,35.2509
1535,2014,2,6,354.5900,3.4100,66.4787,18.7667,580.5605,138.1693,20.4178,14.8239,35.4746
1536,2014,2,7,361.0800,3.4700,67.4087,18.9169,589.3093,140.2101,20.6050,15.0419,36.0941
1537,2014,2,10,360.8700,3.6300,68.6164,19.0504,587.0521,140.1232,20.6731,15.0893,36.4468
1538,2014,2,11,361.7900,3.7000,69.5204,18.9503,595.6857,142.1482,20.8263,15.4021,37.1093
1539,2014,2,12,349.2500,3.6900,69.5153,19.0671,593.9390,142.5754,20.8944,15.9518,37.2556
1540,2014,2,13,357.2000,3.7000,70.6191,18.5831,600.5505,143.8410,21.0220,16.4542,37.6342
1541,2014,2,14,357.3500,3.6900,70.5620,18.8251,602.0020,145.3044,21.0731,16.9755,37.7374
1542,2014,2,18,353.6500,3.7000,70.8215,18.6999,606.0460,144.9089,21.0731,16.9660,37.8665
1543,2014,2,19,347.3800,3.7200,69.7033,18.5915,601.7718,144.7191,20.8518,17.1935,37.7977
1544,2014,2,20,349.8000,3.6900,68.8965,18.6082,602.6577,145.7553,21.0561,17.8001,38.0300
1545,2014,2,21,346.7600,3.6900,68.1312,18.4663,602.4975,144.5925,20.7837,17.6674,37.9870
1546,2014,2,24,351.7800,3.7100,68.4296,18.4580,606.8619,145.1146,20.9625,17.9233,38.2451
1547,2014,2,25,358.3200,3.6900,67.7174,18.2243,610.6106,144.9405,20.9540,17.8424,38.2623
1548,2014,2,26,359.8000,3.7000,67.1065,18.2994,610.6957,145.5971,21.1072,17.8138,38.4000
1549,2014,2,27,360.1300,3.7100,68.4451,18.2911,610.2152,146.5543,21.0731,17.6139,38.5290
1550,2014,2,28,362.1000,3.7100,68.2596,18.1909,608.4334,146.4751,21.0731,17.4996,38.6839
1551,2014,3,3,359.7800,3.6700,68.4568,17.9990,601.9470,145.7553,20.8518,17.4139,38.3569
1552,2014,3,4,363.9000,3.7000,68.9082,18.2076,608.0630,147.4798,20.9454,17.5948,38.9420
1553,2014,3,5,372.3700,3.7100,69.0535,18.2493,609.7397,148.0335,20.8518,17.7472,38.8732
1554,2014,3,6,372.1600,3.7300,68.8446,18.2076,610.4154,148.4290,20.9625,17.4996,39.3034
1555,2014,3,7,372.0600,3.9500,68.8044,18.1325,608.0030,148.4606,20.9710,17.4806,39.4496
1556,2014,3,10,370.5300,3.8100,68.8667,18.0991,606.3914,147.4402,21.1412,17.2235,39.4669
1557,2014,3,11,368.8200,3.8500,69.5373,18.0324,600.5956,147.7329,21.0476,17.3949,39.2948
1558,2014,3,12,370.6400,3.9100,69.6047,18.2076,604.2543,147.3057,21.0731,17.4425,39.9487
1559,2014,3,13,371.5100,3.8600,68.8317,17.9573,595.1251,145.4706,20.9114,16.8903,38.7097
1560,2014,3,14,373.7400,3.8500,68.0586,17.8154,586.9870,144.1337,20.8518,16.9664,38.1246
1561,2014,3,17,375.0400,3.8000,68.3245,17.9489,596.6467,146.9814,21.0220,16.9664,38.9506
1562,2014,3,18,378.7700,3.8900,68.9290,18.0491,606.2362,147.7724,21.1242,17.3663,39.0625
1563,2014,3,19,373.2300,3.9800,68.9108,18.0491,600.2252,146.1113,21.2944,17.6710,39.1657
1564,2014,3,20,368.9700,4.0500,68.5787,18.2160,599.1792,148.6347,21.6433,17.6805,40.3961
1565,2014,3,21,360.6200,4.0400,69.1196,18.0574,592.1121,147.6617,21.4221,17.6520,40.5682
1566,2014,3,24,351.8500,4.0500,69.9394,17.9990,579.5446,148.9115,21.3795,17.5663,40.0691
1567,2014,3,25,354.7100,4.0500,70.6917,18.6415,579.9399,154.2826,21.6689,17.5663,40.1724
1568,2014,3,26,343.4100,4.0500,70.0160,18.6248,566.5516,152.3683,21.6008,17.1664,39.9143
1569,2014,3,27,338.4700,3.9100,69.7150,18.3745,557.6977,150.1613,21.5412,16.9379,39.6475
1570,2014,3,28,338.2900,3.8800,69.6372,18.6332,560.6356,150.6518,21.8050,17.0426,40.1294
1571,2014,3,31,336.3700,4.0100,69.6216,18.7083,557.8128,152.2655,21.9668,17.0521,40.5768
1572,2014,4,1,342.9900,4.0700,70.2585,19.4405,568.0130,153.8554,22.1200,17.7567,40.8951
1573,2014,4,2,341.9600,4.0600,70.3753,19.3479,568.1181,153.1040,22.0348,17.6424,40.9726
1574,2014,4,3,333.6200,4.0000,69.8875,19.4320,571.5000,152.4237,22.4774,17.8328,41.0328
1575,2014,4,4,323.0000,4.0100,68.9834,19.1122,545.2500,151.6960,22.2646,17.2806,39.8713
1576,2014,4,7,317.7600,3.8800,67.9003,19.2301,540.6300,153.8713,22.5455,17.3378,39.7938
1577,2014,4,8,327.0700,3.9900,67.8964,19.3058,557.5100,152.8983,22.9030,17.9566,40.2412
1578,2014,4,9,331.8100,3.9800,68.7889,19.4573,567.0400,155.5483,22.9625,17.9376,40.6456
1579,2014,4,10,317.1100,3.8500,67.9017,19.0617,546.6900,154.7888,22.4944,17.4996,39.1743
1580,2014,4,11,311.7300,3.6500,67.3996,18.9018,537.7600,154.4013,22.2817,17.2521,38.7011
1581,2014,4,14,315.9100,3.7100,67.6681,19.2301,545.2000,156.4421,22.6051,17.4425,38.9936
1582,2014,4,15,316.0800,3.7900,67.1856,19.2637,548.7000,155.8489,22.7838,17.5663,39.4152
1583,2014,4,16,323.6800,3.7600,67.3218,19.3815,563.9000,155.3584,22.9200,17.6043,38.8990
1584,2014,4,17,324.9100,3.6900,68.0910,19.5330,543.3400,150.3037,23.0136,17.6710,39.4324
1585,2014,4,21,330.8700,4.1200,68.8991,19.6929,539.3700,152.0915,22.9370,17.8138,39.6733
1586,2014,4,22,329.3200,4.3000,68.9679,19.7939,545.5000,151.9965,22.8434,17.9661,40.0863
1587,2014,4,23,324.5800,4.2500,68.0664,19.7771,537.5100,151.6643,22.7668,18.1756,39.9745
1588,2014,4,24,337.1500,4.2800,73.6466,19.6340,534.4400,150.4699,22.7668,18.3375,41.7039
1589,2014,4,25,303.8300,4.0500,74.1875,19.3563,523.1000,150.0032,22.3497,17.8328,39.8713
1590,2014,4,28,296.5800,3.9600,77.0606,19.3731,522.9800,152.7796,22.4093,17.7567,39.3603
1591,2014,4,29,300.3800,4.0300,76.8323,19.4909,536.3300,154.3380,22.5370,17.7948,39.9405
1592,2014,4,30,304.1300,4.0900,76.5418,19.4489,534.8800,155.4138,22.7157,17.5853,39.3603
1593,2014,5,1,307.8900,4.2000,76.7221,19.3647,538.5300,153.0882,22.5115,17.6805,39.1698
1594,2014,5,2,308.0100,4.1200,76.8647,19.3058,533.8700,151.4349,22.4774,17.5472,39.6461
1595,2014,5,5,310.0500,4.0900,77.9517,19.3226,535.3300,151.2925,22.4645,17.7376,39.5941
1596,2014,5,6,297.3800,4.0100,77.1021,19.1207,522.5700,150.3195,22.4903,17.3758,39.2997
1597,2014,5,7,292.7100,3.9700,76.8323,19.2469,518.0000,150.6139,22.6362,17.3949,39.4729
1598,2014,5,8,288.3200,3.9300,76.6954,19.3731,520.1700,150.3036,22.6105,17.6139,39.9319
1599,2014,5,9,292.2400,3.8700,76.3758,19.3731,526.6200,151.2345,22.5761,17.1854,39.6980
1600,2014,5,12,302.8600,3.9700,77.3267,19.5162,538.4300,153.2157,22.6362,17.6900,40.6593
