,Year,Quarter,Revenue,Cost of revenue,Net income,Earnings per share,Current assets,Total assets,Current liabilities,Shareholders' equity,Depreciation & Amortization,Cash generated by operating activities,Cash at end of period,Stock price,Amazon,AMD,Apple,Cisco,Google,IBM,Intel,Nvidia,TI
Cisco Systems 2016-1,2016,1,11927.0,4495.0,3147.0,0.62,75005.0,112642.0,22799.0,60871.0,1005.0,6688.0,6314.0,23.48,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cisco Systems 2016-2,2016,2,12000.0,4279.0,2349.0,0.46,78571.0,118654.0,24003.0,62358.0,1546.0,9752.0,8895.0,27.37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cisco Systems 2016-4,2016,4,12352.0,4468.0,2322.0,0.46,83141.0,126287.0,23217.0,63406.0,599.0,2730.0,8583.0,30.48,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cisco Systems 2017-1,2017,1,11580.0,4304.0,2348.0,0.47,83392.0,126248.0,22708.0,63811.0,1148.0,6502.0,10898.0,30.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cisco Systems 2017-2,2017,2,11940.0,4422.0,2515.0,0.5,79962.0,125950.0,22718.0,65382.0,1708.0,9875.0,8116.0,33.97,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cisco Systems 2017-4,2017,4,12136.0,4709.0,2394.0,0.48,84080.0,130522.0,29284.0,65550.0,566.0,3080.0,11043.0,34.62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cisco Systems 2018-1,2018,1,11887.0,4389.0,-8778.0,-1.78,86050.0,131510.0,35364.0,51982.0,1112.0,7150.0,17624.0,41.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cisco Systems 2018-2,2018,2,12463.0,4704.0,2691.0,0.56,67141.0,114008.0,28642.0,46661.0,1676.0,9566.0,6719.0,44.83,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cisco Systems 2018-4,2018,4,13072.0,4926.0,3549.0,0.77,55686.0,105429.0,26414.0,43848.0,465.0,3763.0,8486.0,45.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Google Inc 2008-2,2008,2,5186.0,2111.0,1307.0,4.12,15465.0,27605.0,2460.0,24338.0,281.0,1779.0,6520.0,465.71,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2008-3,2008,3,5367.0,2148.0,1247.0,3.92,16317.0,29180.0,2346.0,25913.0,589.0,3546.0,7364.0,534.73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2008-4,2008,4,5541.0,2173.0,1290.0,4.06,17963.0,30807.0,2224.0,27475.0,899.0,5731.0,8370.0,411.72,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2009-2,2009,2,5509.0,2102.0,1423.0,4.49,22081.0,33513.0,2184.0,29848.0,321.0,2250.0,10426.0,354.09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2009-3,2009,3,5523.0,2108.0,1485.0,4.66,23835.0,35159.0,2001.0,31595.0,632.0,3859.0,11911.0,418.99,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2009-4,2009,4,5945.0,2226.0,1639.0,5.13,26354.0,37703.0,2322.0,33722.0,943.0,6585.0,12087.0,487.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2010-2,2010,2,6775.0,2452.0,1955.0,6.06,31132.0,42871.0,2922.0,38283.0,264.0,2584.0,9192.0,568.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2010-3,2010,3,6820.0,2467.0,1840.0,5.71,35161.0,48045.0,5747.0,40613.0,530.0,4669.0,10713.0,439.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2010-4,2010,4,7286.0,2552.0,2167.0,6.72,39447.0,53342.0,8530.0,43290.0,787.0,7555.0,11257.0,525.62,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2011-2,2011,2,8575.0,2936.0,1798.0,5.51,43310.0,59960.0,9332.0,48851.0,301.0,3172.0,12415.0,591.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2011-3,2011,3,9026.0,3172.0,2505.0,7.68,46442.0,64861.0,7798.0,51991.0,648.0,6691.0,10320.0,521.028,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2011-4,2011,4,9720.0,3378.0,2729.0,8.33,50042.0,69088.0,8888.0,54830.0,1011.0,10641.0,10630.0,495.52,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2012-2,2012,2,10645.0,3789.0,2890.0,8.75,56859.0,77144.0,9742.0,61712.0,378.0,3694.0,23108.0,646.92,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2012-3,2012,3,10964.0,1029.0,2785.0,8.42,53857.0,86051.0,14028.0,64721.0,851.0,7946.0,15437.0,580.47,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2012-4,2012,4,11526.0,2114.0,2176.0,6.53,56821.0,89730.0,14434.0,68028.0,1358.0,11950.0,16260.0,761.78,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2013-2,2013,2,12951.0,808.0,3324.0,9.94,62808.0,96692.0,13252.0,75473.0,584.0,3633.0,15375.0,801.19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2013-3,2013,3,13107.0,868.0,2554.0,9.54,66861.0,101182.0,15329.0,78852.0,1331.0,8338.0,16164.0,887.88,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2013-4,2013,4,13754.0,1004.0,2955.0,8.75,68858.0,105068.0,14475.0,82989.0,2024.0,13421.0,15242.0,887.0039999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2014-2,2014,2,15420.0,5961.0,3650.0,5.04,75314.0,116526.0,16270.0,91711.0,816.0,4391.0,16639.0,1134.89,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2014-3,2014,3,15955.0,6114.0,3490.0,4.99,77905.0,121608.0,17097.0,95749.0,1629.0,10018.0,19620.0,1182.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2014-4,2014,4,16523.0,6695.0,2998.0,4.09,80115.0,125781.0,17920.0,98815.0,2513.0,16012.0,15605.0,1159.26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2015-2,2015,2,17258.0,6356.0,3586.0,5.2,80313.0,133400.0,14336.0,108448.0,938.0,6617.0,16976.0,1098.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2015-3,2015,3,17727.0,6583.0,3931.0,4.93,84164.0,138807.0,17362.0,111783.0,1949.0,13602.0,18453.0,1086.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Google Inc 2015-4,2015,4,18675.0,7037.0,3979.0,5.73,88103.0,144281.0,18457.0,116241.0,2979.0,19609.0,18068.0,1284.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alphabet Inc 2016-2,2016,2,20257.0,7648.0,4207.0,6.02,90955.0,149747.0,17684.0,123569.0,1155.0,7658.0,15111.0,1539.34,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alphabet Inc 2016-3,2016,3,21500.0,8130.0,4877.0,7.0,94238.0,154292.0,17341.0,127879.0,2426.0,16778.0,13627.0,1420.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alphabet Inc 2016-4,2016,4,22451.0,8699.0,5061.0,7.25,98546.0,159948.0,14323.0,134103.0,3803.0,26623.0,9406.0,1600.76,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alphabet Inc 2017-2,2017,2,24750.0,9795.0,5426.0,7.73,108794.0,172756.0,15256.0,144949.0,1287.0,9548.0,18132.0,1713.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alphabet Inc 2017-3,2017,3,26010.0,10373.0,3524.0,5.01,112386.0,178621.0,18685.0,148286.0,2711.0,16951.0,15711.0,1838.92,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alphabet Inc 2017-4,2017,4,27772.0,11148.0,6732.0,9.57,119345.0,189536.0,20693.0,157100.0,4272.0,26823.0,10581.0,1934.94,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alphabet Inc 2018-2,2018,2,31146.0,13467.0,9401.0,13.33,123761.0,206935.0,25394.0,160825.0,1791.0,11642.0,12658.0,2025.26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alphabet Inc 2018-3,2018,3,32657.0,13883.0,3195.0,4.54,124157.0,211610.0,29903.0,162000.0,3653.0,21774.0,14148.0,2284.22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alphabet Inc 2018-4,2018,4,33740.0,14281.0,9192.0,13.06,129702.0,221538.0,31301.0,169840.0,5791.0,34984.0,13443.0,2417.06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
International Business Machines 2008-2,2008,2,24502.0,14336.0,2319.0,1.65,48425.0,121823.0,47048.0,28728.0,1030.0,4202.0,10786.0,116.49,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2008-3,2008,3,26820.0,15221.0,2765.0,1.98,46312.0,120928.0,44683.0,28264.0,2096.0,8453.0,9626.0,119.27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2008-4,2008,4,25302.0,14342.0,2824.0,2.05,44187.0,115910.0,44752.0,27519.0,3144.0,12191.0,9755.0,110.13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2009-2,2009,2,21711.0,12280.0,2295.0,1.7,43995.0,101944.0,37425.0,13693.0,917.0,4386.0,12294.0,97.61,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2009-3,2009,3,23250.0,12669.0,3103.0,2.32,44435.0,103655.0,36430.0,15380.0,1853.0,9127.0,11678.0,104.84,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2009-4,2009,4,23566.0,12938.0,3214.0,2.4,43446.0,103675.0,32960.0,18396.0,2806.0,14325.0,9532.0,117.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2010-2,2010,2,22857.0,12880.0,2601.0,1.97,45697.0,105208.0,34575.0,22033.0,924.0,4437.0,12472.0,128.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2010-3,2010,3,23724.0,12915.0,3386.0,2.61,44895.0,103420.0,34993.0,21059.0,1823.0,8203.0,10325.0,122.57,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2010-4,2010,4,24271.0,13270.0,3589.0,2.82,44469.0,107174.0,35443.0,22238.0,2737.0,12754.0,9859.0,135.64,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2011-2,2011,2,24607.0,13749.0,2863.0,2.31,47524.0,112960.0,40387.0,22671.0,918.0,3792.0,12763.0,164.27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2011-3,2011,3,26666.0,14282.0,3664.0,3.0,46937.0,113474.0,39843.0,23127.0,1816.0,8071.0,11714.0,174.54,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2011-4,2011,4,26157.0,13984.0,3839.0,3.19,45373.0,110158.0,36028.0,22291.0,2701.0,12750.0,11303.0,173.29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2012-2,2012,2,24673.0,13555.0,3066.0,2.61,48847.0,115347.0,38209.0,20701.0,847.0,4291.0,11835.0,209.47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2012-3,2012,3,25783.0,13502.0,3881.0,3.34,47392.0,113832.0,38903.0,20472.0,1706.0,8726.0,10864.0,195.83,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2012-4,2012,4,24747.0,13016.0,3824.0,3.33,48141.0,115778.0,39499.0,21541.0,2572.0,13240.0,11909.0,210.47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2013-2,2013,2,23408.0,12730.0,3032.0,2.7,48949.0,117258.0,42122.0,19092.0,822.0,4023.0,10585.0,212.38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2013-3,2013,3,24924.0,12792.0,3226.0,2.91,47911.0,115153.0,41037.0,17756.0,1632.0,7197.0,9558.0,191.28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2013-4,2013,4,23720.0,12341.0,4041.0,3.68,47533.0,117845.0,39222.0,19877.0,2457.0,10957.0,10072.0,186.38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2014-2,2014,2,22484.0,11941.0,2384.0,2.29,47959.0,122646.0,41058.0,16607.0,802.0,3326.0,9409.0,194.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2014-3,2014,3,24364.0,12389.0,4137.0,4.12,48182.0,124314.0,42433.0,17377.0,1628.0,6905.0,9715.0,186.35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2014-4,2014,4,22397.0,11523.0,18.0,997.7,47163.0,118911.0,42306.0,14255.0,2428.0,10809.0,9561.0,187.17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2015-2,2015,2,19590.0,10138.0,2328.0,992.3,46316.0,112037.0,35640.0,12141.0,670.0,3610.0,8796.0,159.18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2015-3,2015,3,20813.0,10423.0,3449.0,986.7,45186.0,112729.0,35535.0,13684.0,1335.0,7494.0,8393.0,164.49,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2015-4,2015,4,19280.0,9844.0,2950.0,979.0,42112.0,108649.0,33732.0,13294.0,1981.0,11729.0,9480.0,143.59,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2016-2,2016,2,18684.0,9999.0,2014.0,964.4,47623.0,118856.0,34664.0,14925.0,677.0,5645.0,14354.0,152.52,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2016-3,2016,3,20238.0,10536.0,2504.0,960.5,43524.0,118056.0,33585.0,15733.0,1382.0,9088.0,10017.0,152.35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2016-4,2016,4,19226.0,10213.0,2853.0,957.3,41433.0,115606.0,34447.0,17010.0,2106.0,13301.0,9039.0,157.61,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2017-2,2017,2,18155.0,10383.0,1750.0,947.8,42889.0,117495.0,36481.0,18327.0,709.0,3955.0,10096.0,174.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2017-3,2017,3,19289.0,10495.0,2331.0,939.6,45013.0,120495.0,35966.0,18419.0,1439.0,7421.0,11696.0,155.58,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2017-4,2017,4,19153.0,10353.0,2726.0,933.2,44742.0,121636.0,31697.0,19627.0,2231.0,10991.0,10915.0,146.66,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2018-2,2018,2,19072.0,10825.0,1679.0,925.4,49122.0,125285.0,35733.0,18166.0,774.0,4602.0,12262.0,150.07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2018-3,2018,3,20003.0,10804.0,2404.0,919.4,46795.0,121622.0,35442.0,18520.0,1547.0,6896.0,10960.0,139.86,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2018-4,2018,4,18756.0,9953.0,2694.0,915.2,48257.0,121990.0,36822.0,19784.0,2337.0,11128.0,11731.0,153.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Intel Corp 2008-2,2008,2,9673.0,4466.0,1443.0,0.25,22064.0,53387.0,8668.0,40660.0,1102.0,2215.0,5883.0,21.97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2008-3,2008,3,9470.0,4221.0,1601.0,0.28,19778.0,52392.0,8032.0,40361.0,2144.0,5043.0,4079.0,21.57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2008-4,2008,4,10217.0,4198.0,2014.0,0.35,21423.0,52719.0,10068.0,38911.0,3203.0,8330.0,3704.0,18.52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2009-2,2009,2,7145.0,3907.0,629.0,0.11,18142.0,48454.0,6341.0,39064.0,1208.0,378.0,3536.0,15.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2009-3,2009,3,8024.0,3945.0,-398.0,-0.07,18467.0,49061.0,7079.0,39047.0,2419.0,3762.0,3826.0,17.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2009-4,2009,4,9389.0,3985.0,1856.0,0.33,19247.0,50996.0,7749.0,39033.0,3572.0,7765.0,4109.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2010-2,2010,2,10299.0,3770.0,2442.0,0.43,23724.0,55773.0,8912.0,42900.0,1080.0,4079.0,4988.0,22.39,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2010-3,2010,3,10765.0,3530.0,2887.0,0.51,26464.0,57691.0,7937.0,45841.0,2166.0,7565.0,5514.0,19.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2010-4,2010,4,11102.0,3781.0,2955.0,0.52,29499.0,60588.0,8837.0,47696.0,3252.0,11142.0,5517.0,19.32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2011-2,2011,2,12847.0,4962.0,3160.0,0.56,22795.0,65552.0,11565.0,47349.0,1287.0,4013.0,4188.0,19.72,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2011-3,2011,3,13032.0,5130.0,2954.0,0.54,23102.0,66089.0,10354.0,48723.0,2535.0,7984.0,4635.0,22.53,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2011-4,2011,4,14233.0,5215.0,3468.0,0.65,26698.0,70551.0,11909.0,46117.0,3808.0,14333.0,7057.0,20.62,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2012-2,2012,2,12906.0,4641.0,2738.0,0.53,25421.0,71817.0,11941.0,46760.0,1519.0,2972.0,4429.0,28.38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2012-3,2012,3,13501.0,4947.0,2827.0,0.54,25785.0,72352.0,10538.0,48779.0,3091.0,7711.0,5223.0,26.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2012-4,2012,4,13457.0,4942.0,2972.0,0.58,23014.0,74441.0,11953.0,49269.0,4716.0,12858.0,3520.0,22.76,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2013-2,2013,2,12580.0,5514.0,2045.0,0.4,28677.0,83083.0,11798.0,51194.0,1682.0,4285.0,5698.0,21.43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2013-3,2013,3,12811.0,5341.0,2000.0,0.39,29048.0,85661.0,11389.0,53840.0,3394.0,9007.0,3778.0,23.89,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2013-4,2013,4,13483.0,5069.0,2950.0,0.58,31350.0,90551.0,13875.0,55452.0,5123.0,14738.0,4881.0,22.83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2014-2,2014,2,12764.0,5151.0,1930.0,0.38,30554.0,91932.0,13552.0,58038.0,1720.0,3501.0,4777.0,25.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2014-3,2014,3,13831.0,4914.0,2796.0,0.55,29006.0,91793.0,12251.0,59247.0,3600.0,8954.0,3049.0,30.98,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2014-4,2014,4,14554.0,5096.0,3317.0,0.66,27509.0,90616.0,14904.0,56073.0,5491.0,14647.0,3143.0,33.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2015-2,2015,2,12781.0,5051.0,1992.0,0.41,26466.0,89566.0,15035.0,54924.0,1848.0,4415.0,4244.0,30.81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2015-3,2015,3,13195.0,4947.0,2706.0,0.55,26710.0,90492.0,13529.0,57695.0,3825.0,7855.0,4454.0,30.18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2015-4,2015,4,14465.0,5354.0,3109.0,0.64,36205.0,98552.0,15080.0,57097.0,5885.0,13590.0,7065.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2016-2,2016,2,13702.0,5572.0,2046.0,0.42,27397.0,105467.0,17526.0,61174.0,1619.0,4055.0,3061.0,32.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2016-3,2016,3,13533.0,5560.0,1330.0,0.27,31188.0,109831.0,18711.0,61367.0,3141.0,7900.0,3885.0,32.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2016-4,2016,4,15778.0,5795.0,3378.0,0.69,36216.0,112217.0,20093.0,63115.0,4684.0,13658.0,4752.0,37.66,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2017-2,2017,2,14796.0,5649.0,2964.0,0.61,36058.0,115648.0,21305.0,66844.0,1625.0,3898.0,4934.0,36.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2017-3,2017,3,14763.0,5665.0,2808.0,0.58,40617.0,122107.0,18782.0,68625.0,3300.0,8605.0,11687.0,33.46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2017-4,2017,4,16149.0,6092.0,4516.0,0.94,33154.0,127088.0,20689.0,70936.0,4990.0,14869.0,9075.0,39.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2018-2,2018,2,16066.0,6335.0,4454.0,0.93,31630.0,128596.0,19961.0,70165.0,1806.0,6284.0,3554.0,48.92,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2018-3,2018,3,16962.0,6543.0,5006.0,1.05,27603.0,125972.0,17571.0,70047.0,3536.0,13697.0,2614.0,50.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Intel Corp 2018-4,2018,4,19163.0,6803.0,6398.0,1.38,29590.0,128242.0,19574.0,71483.0,5420.0,22532.0,3407.0,46.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Nvidia 2008-2,2008,2,1153.0,639.0,177.0,0.3,2749.0,3807.0,877.0,2737.0,41.0,145.0,803.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nvidia 2008-3,2008,3,893.0,743.0,-121.0,-0.22,2814.0,3960.0,1135.0,2663.0,88.0,226.0,719.0,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nvidia 2008-4,2008,4,898.0,530.0,62.0,0.11,2480.0,3649.0,1004.0,2487.0,137.0,269.0,461.0,8.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nvidia 2009-2,2009,2,664.0,475.0,-201.0,-0.37,2021.0,3179.0,702.0,2319.0,51.0,142.0,512.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nvidia 2009-3,2009,3,777.0,620.0,-105.0,-0.19,2168.0,3298.0,891.0,2247.0,100.0,277.0,524.0,13.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nvidia 2009-4,2009,4,903.0,511.0,108.0,0.19,2358.0,3464.0,889.0,2424.0,149.0,419.0,614.0,12.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nvidia 2010-2,2010,2,1002.0,545.0,138.0,0.23,2727.0,3803.0,765.0,2861.0,47.0,-5.0,447.0,15.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nvidia 2010-3,2010,3,811.0,677.0,-141.0,-0.25,2656.0,3731.0,819.0,2761.0,94.0,29.0,377.0,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nvidia 2010-4,2010,4,844.0,452.0,85.0,0.15,2808.0,3916.0,816.0,2898.0,141.0,241.0,451.0,12.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nvidia 2011-2,2011,2,962.0,478.0,135.0,0.22,3497.0,4737.0,981.0,3448.0,48.0,172.0,684.0,19.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nvidia 2011-3,2011,3,1017.0,491.0,287.0,0.25,3318.0,4864.0,960.0,3689.0,100.0,254.0,533.0,14.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nvidia 2011-4,2011,4,1066.0,509.0,178.0,0.29,3500.0,5089.0,887.0,3973.0,152.0,499.0,567.0,14.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nvidia 2012-2,2012,2,925.0,462.0,60.0,0.1,4032.0,5708.0,947.0,4287.0,54.0,-9.0,369.0,13.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nvidia 2012-3,2012,3,1044.0,504.0,119.0,0.19,4214.0,5892.0,1022.0,4454.0,111.0,192.0,500.0,13.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nvidia 2012-4,2012,4,1204.0,567.0,209.0,0.33,4425.0,6075.0,991.0,4723.0,168.0,373.0,525.0,12.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nvidia 2013-2,2013,2,955.0,436.0,78.0,0.13,4607.0,6280.0,926.0,4825.0,60.0,176.0,561.0,13.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nvidia 2013-3,2013,3,977.0,432.0,96.0,0.16,3923.0,5570.0,936.0,4172.0,122.0,272.0,591.0,14.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nvidia 2013-4,2013,4,1054.0,470.0,119.0,0.2,4050.0,5711.0,986.0,4321.0,184.0,434.0,562.0,15.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
