time,Revenue_AMAZON,Cost of revenue_AMAZON,Net income_AMAZON,Earnings per share_AMAZON,Current assets_AMAZON,Total assets_AMAZON,Current liabilities_AMAZON,Shareholders' equity_AMAZON,Depreciation & Amortization_AMAZON,Cash generated by operating activities_AMAZON,Cash at end of period_AMAZON,Revenue_AMD,Cost of revenue_AMD,Net income_AMD,Earnings per share_AMD,Current assets_AMD,Total assets_AMD,Current liabilities_AMD,Shareholders' equity_AMD,Depreciation & Amortization_AMD,Cash generated by operating activities_AMD,Cash at end of period_AMD,Revenue_APPLE,Cost of revenue_APPLE,Net income_APPLE,Earnings per share_APPLE,Current assets_APPLE,Total assets_APPLE,Current liabilities_APPLE,Shareholders' equity_APPLE,Depreciation & Amortization_APPLE,Cash generated by operating activities_APPLE,Cash at end of period_APPLE,Revenue_CISCO,Cost of revenue_CISCO,Net income_CISCO,Earnings per share_CISCO,Current assets_CISCO,Total assets_CISCO,Current liabilities_CISCO,Shareholders' equity_CISCO,Depreciation & Amortization_CISCO,Cash generated by operating activities_CISCO,Cash at end of period_CISCO,Revenue_GOOGLE,Cost of revenue_GOOGLE,Net income_GOOGLE,Earnings per share_GOOGLE,Current assets_GOOGLE,Total assets_GOOGLE,Current liabilities_GOOGLE,Shareholders' equity_GOOGLE,Depreciation & Amortization_GOOGLE,Cash generated by operating activities_GOOGLE,Cash at end of period_GOOGLE,Revenue_IBM,Cost of revenue_IBM,Net income_IBM,Earnings per share_IBM,Current assets_IBM,Total assets_IBM,Current liabilities_IBM,Shareholders' equity_IBM,Depreciation & Amortization_IBM,Cash generated by operating activities_IBM,Cash at end of period_IBM,Revenue_INTEL,Cost of revenue_INTEL,Net income_INTEL,Earnings per share_INTEL,Current assets_INTEL,Total assets_INTEL,Current liabilities_INTEL,Shareholders' equity_INTEL,Depreciation & Amortization_INTEL,Cash generated by operating activities_INTEL,Cash at end of period_INTEL,Revenue_NVIDIA,Cost of revenue_NVIDIA,Net income_NVIDIA,Earnings per share_NVIDIA,Current assets_NVIDIA,Total assets_NVIDIA,Current liabilities_NVIDIA,Shareholders' equity_NVIDIA,Depreciation & Amortization_NVIDIA,Cash generated by operating activities_NVIDIA,Cash at end of period_NVIDIA,Revenue_TI,Cost of revenue_TI,Net income_TI,Earnings per share_TI,Current assets_TI,Total assets_TI,Current liabilities_TI,Shareholders' equity_TI,Depreciation & Amortization_TI,Cash generated by operating activities_TI,Cash at end of period_TI,Stock price_AMAZON,Stock price_AMD,Stock price_APPLE,Stock price_CISCO,Stock price_GOOGLE,Stock price_IBM,Stock price_INTEL,Stock price_NVIDIA,Stock price_TI
2011-03-01,9913,7525,191,0.41,11279,17941,8045,7765,244,423,2047,1574,854,61,0.08,3438,5224,1312,1641,168,6,554,24667,14449,5987,6.4,46997,94904,24327,61477,790,15992,15978,10866,4207,1807,0.33,55204,85350,16110,47163,1813,7255,6635,9026,3172,2505,7.68,46442,64861,7798,51991,648,6691,10320,26666,14282,3664,3.0,46937,113474,39843,23127,1816,8071,11714,13032,5130,2954,0.54,23102,66089,10354,48723,2535,7984,4635,1017,491,287,0.25,3318,4864,960,3689,100,254,533,3458,1705,672,0.56,10860,17098,1753,10903,444,1147,4501,209.49,7.11,42.9574,13.757,260.7758,132.9189,17.4228,13.4278,26.9055
2011-04-01,10876,8325,63,0.14,11904,19054,8978,7766,278,797,2823,1690,934,97,0.13,3412,5236,1855,1744,247,195,625,28571,16649,7308,7.79,46898,106758,26859,69343,1271,27100,12091,11256,4366,1777,0.33,57267,86964,17461,47188,621,2333,4747,9720,3378,2729,8.33,50042,69088,8888,54830,1011,10641,10630,26157,13984,3839,3.19,45373,110158,36028,22291,2701,12750,11303,14233,5215,3468,0.65,26698,70551,11909,46117,3808,14333,7057,1066,509,178,0.29,3500,5089,887,3973,152,499,567,3466,1722,601,0.51,7716,20907,3668,11026,657,2285,1581,211.98,4.53,42.7954,13.8719,248.00799999999998,132.5417,16.1014,12.9578,21.3299
2012-02-01,13185,10027,130,0.28,12154,20339,10488,7271,457,-2438,2288,1585,1558,-590,-0.8,3195,4988,2347,1052,63,107,1193,46333,25630,13064,13.87,54771,138681,34607,90054,721,17554,10310,11527,4462,2182,0.4,59298,89259,17598,49246,1185,5434,8561,10645,3789,2890,8.75,56859,77144,9742,61712,378,3694,23108,24673,13555,3066,2.61,48847,115347,38209,20701,847,4291,11835,12906,4641,2738,0.53,25421,71817,11941,46760,1519,2972,4429,925,462,60,0.1,4032,5708,947,4287,54,-9,369,3121,1590,265,0.22,7591,20009,2909,11071,243,449,1193,198.05,8.2,51.2694,15.6667,323.7838,161.4846,22.5364,12.1929,27.1017
2012-03-01,12834,9488,7,0.01,11793,21022,10964,7505,485,594,2335,1413,775,37,0.05,3233,5041,2352,1117,128,188,1015,39186,20622,11622,12.3,50712,150934,32036,102498,1461,31531,10121,11588,4419,2165,0.4,61212,91154,17124,51357,1816,8403,6461,10964,1029,2785,8.42,53857,86051,14028,64721,851,7946,15437,25783,13502,3881,3.34,47392,113832,38903,20472,1706,8726,10864,13501,4947,2827,0.54,25785,72352,10538,48779,3091,7711,5223,1044,504,119,0.19,4214,5892,1022,4454,111,192,500,3335,1684,446,0.38,7353,19521,3821,11158,484,1124,1192,229.32,5.75,77.1267,15.8691,290.5255,151.6017,21.331999999999997,12.3404,23.166999999999998
2012-04-01,13806,10319,-274,-0.6,13118,22834,12605,7553,554,943,2980,1269,877,-157,-0.21,2815,4612,1555,989,194,-52,776,35023,20029,8824,9.32,51943,162896,33060,111746,2296,41720,7945,11876,4637,2092,0.39,57907,92643,17114,52686,612,2465,4773,11526,2114,2176,6.53,56821,89730,14434,68028,1358,11950,16260,24747,13016,3824,3.33,48141,115778,39499,21541,2572,13240,11909,13457,4942,2972,0.58,23014,74441,11953,49269,4716,12858,3520,1204,567,209,0.33,4425,6075,991,4723,168,373,525,3390,1650,784,0.67,8584,20514,3425,11403,725,2326,1210,252.01,3.28,73.8714,14.0759,381.2713,163.6309,18.3641,11.5662,22.7612
2013-02-01,16070,11801,82,0.18,16313,28377,14332,8432,700,-2372,4481,1088,643,-146,-0.19,2338,3797,1321,415,66,-155,441,54512,33452,13078,13.81,72348,196088,46879,127346,1588,23426,16154,12098,4755,3143,0.59,60725,96378,17950,55515,1223,5814,6847,12951,808,3324,9.94,62808,96692,13252,75473,584,3633,15375,23408,12730,3032,2.7,48949,117258,42122,19092,822,4023,10585,12580,5514,2045,0.4,28677,83083,11798,51194,1682,4285,5698,955,436,78,0.13,4607,6280,926,4825,60,176,561,2885,1511,362,0.32,8205,19701,3110,10952,228,360,1393,261.61,2.44,69.0573,16.8687,400.996,166.5365,17.6569,12.7388,29.4727
2013-03-01,15704,11209,-7,-0.02,16285,29623,14735,8733,756,880,3704,1161,702,-74,-0.1,2458,3897,1451,359,125,-190,334,43603,27254,9547,10.09,63337,194743,35508,135490,3280,35930,12053,12216,4705,2478,0.46,61417,97084,21063,56788,1760,8908,5122,13107,868,2554,9.54,66861,101182,15329,78852,1331,8338,16164,24924,12792,3226,2.91,47911,115153,41037,17756,1632,7197,9558,12811,5341,2000,0.39,29048,85661,11389,53840,3394,9007,3778,977,432,96,0.16,3923,5570,936,4172,122,272,591,3047,1477,660,0.58,8038,19398,2802,11068,449,1035,1180,282.1,4.1,54.2629,16.6376,444.3844,150.6941,19.8692,13.7321,29.7285
2013-04-01,17092,12366,-41,-0.09,17334,31861,16135,9087,834,1388,3872,1461,940,48,0.06,2939,4317,1762,434,182,-169,543,35323,22299,6900,7.47,68219,199856,36319,123354,4974,43758,11248,12085,4678,1996,0.37,62796,100741,21728,58897,591,2649,5254,13754,1004,2955,8.75,68858,105068,14475,82989,2024,13421,15242,23720,12341,4041,3.68,47533,117845,39222,19877,2457,10957,10072,13483,5069,2950,0.58,31350,90551,13875,55452,5123,14738,4881,1054,470,119,0.2,4050,5711,986,4321,184,434,562,3244,1465,629,0.56,8101,19244,2723,11051,666,2185,1435,320.95,3.86,52.1145,18.6907,443.9439,147.5678,19.1734,14.3858,34.5232
2014-02-01,19741,14055,108,0.23,19327,36364,18357,10328,1010,-2502,5074,1397,910,-20,-0.03,2690,4108,1384,511,53,-204,554,57594,35748,13072,14.5,80347,225184,53769,129684,2144,22670,14077,11155,5204,1429,0.27,60689,98427,22944,56069,1203,5522,5339,15420,5961,3650,5.04,75314,116526,16270,91711,816,4391,16639,22484,11941,2384,2.29,47959,122646,41058,16607,802,3326,9409,12764,5151,1930,0.38,30554,91932,13552,58038,1720,3501,4777,1103,499,137,0.24,5274,6865,898,4167,55,151,509,2983,1376,487,0.44,8360,18935,2471,10620,213,462,1565,342.99,4.07,71.3207,17.9823,568.013,155.6726,22.2417,17.6805,41.2034
2014-03-01,19340,13399,-126,-0.27,18755,37898,18751,10602,1109,862,5057,1441,943,-36,-0.05,2932,4246,1505,501,106,-232,503,45646,27699,10223,11.62,70541,205989,43208,120179,4031,36208,18949,11545,4539,2181,0.42,64288,101856,18515,55787,1811,8720,6241,15955,6114,3490,4.99,77905,121608,17097,95749,1629,10018,19620,24364,12389,4137,4.12,48182,124314,42433,17377,1628,6905,9715,13831,4914,2796,0.55,29006,91793,12251,59247,3600,8954,3049,1103,484,128,0.22,5378,6934,869,4305,111,247,515,3292,1411,683,0.62,7456,17810,1803,10466,426,1237,1216,332.39,4.22,70.2585,19.3647,591.49,150.018,26.7398,16.9202,42.3095
